Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,    Population 18 to 24 years,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree or higher,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree,        Graduate or professional degree,        High school graduate or higher,        Bachelor's degree or higher,    Population 25 to 34 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 35 to 44 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 45 to 64 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 65 years and over,        High school graduate or higher,        Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"    White alone, not Hispanic or Latino",        High school graduate or higher,        Bachelor's degree or higher,    Black alone,        High school graduate or higher,        Bachelor's degree or higher,    American Indian or Alaska Native alone,        High school graduate or higher,        Bachelor's degree or higher,    Asian alone,        High school graduate or higher,        Bachelor's degree or higher,    Native Hawaiian and Other Pacific Islander alone,        High school graduate or higher,        Bachelor's degree or higher,    Some other race alone,        High school graduate or higher,        Bachelor's degree or higher,    Two or more races,        High school graduate or higher,        Bachelor's degree or higher,    Hispanic or Latino Origin,        High school graduate or higher,        Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
"Census Tract 9705.02, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±22.5,±25.2,±20.3,±6.5,(X),±0.7,±4.9,±4.2,±4.5,±3.7,±5.5,±4.0,±5.0,±6.8,(X),±4.8,±15.4,(X),±17.6,±14.2,(X),±11.6,±8.5,(X),±2.1,±11.4,,(X),±5.2,±6.9,(X),±5.2,±6.9,(X),±56.4,±18.9,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±73.6,±25.7,(X),±100.0,±34.2,,±33.0,±4.0,±4.2,±2.1,,(X),(X),(X),(X),(X),(X)
"Census Tract 9705.02, Carteret County, North Carolina!!Male!!Estimate",,47,9,27,8,3,853,9,58,157,229,87,183,130,786,313,142,133,97,111,111,50,332,278,72,268,264,94,,818,751,304,818,751,304,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,6,6,6,,(X),(X),(X),(X),,"50,536","14,545",-,"46,563","63,704","53,088"
"Census Tract 9705.02, Carteret County, North Carolina!!Male!!Margin of Error",,±42,±15,±33,±12,±5,±126,±13,±53,±76,±66,±41,±71,±44,±106,±78,±65,±64,±58,±41,±41,±34,±62,±40,±30,±75,±75,±32,,±123,±102,±79,±123,±102,±79,±31,±31,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±14,±14,±14,±13,±13,±13,,(X),(X),(X),(X),,"±17,020","±12,547",**,"±17,659","±20,616","±39,107"
"Census Tract 9705.02, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),19.10%,57.40%,17.00%,6.40%,(X),1.10%,6.80%,18.40%,26.80%,10.20%,21.50%,15.20%,92.10%,36.70%,(X),93.70%,68.30%,(X),100.00%,45.00%,(X),83.70%,21.70%,(X),98.50%,35.10%,,(X),91.80%,37.20%,(X),91.80%,37.20%,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,,49.30%,0.00%,2.80%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9705.02, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±32.3,±35.1,±22.8,±11.1,(X),±1.5,±5.7,±7.5,±8.2,±4.9,±7.0,±5.7,±5.9,±8.1,(X),±9.1,±16.8,(X),±29.4,±23.9,(X),±13.6,±9.2,(X),±3.0,±13.8,,(X),±6.1,±8.5,(X),±6.1,±8.5,(X),±64.5,±64.5,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±100.0,±100.0,(X),±100.0,±100.0,,±42.7,±22.2,±4.2,±12.0,,(X),(X),(X),(X),(X),(X)
"Census Tract 9705.02, Carteret County, North Carolina!!Female!!Estimate",,33,8,15,10,0,929,0,61,167,205,104,268,124,868,392,131,131,71,95,95,82,367,316,111,336,326,128,,910,849,380,910,849,380,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,11,11,4,3,3,0,,(X),(X),(X),(X),,"37,288",-,"17,292","30,952","54,688","38,194"
"Census Tract 9705.02, Carteret County, North Carolina!!Female!!Margin of Error",,±24,±12,±19,±13,±13,±128,±13,±75,±47,±68,±46,±69,±44,±96,±78,±49,±49,±43,±24,±24,±26,±95,±52,±45,±68,±66,±41,,±130,±97,±78,±130,±97,±78,±14,±14,±14,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±12,±12,±6,±6,±6,±13,,(X),(X),(X),(X),,"±9,949",**,"±10,772","±4,529","±7,473","±22,610"
"Census Tract 9705.02, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),24.20%,45.50%,30.30%,0.00%,(X),0.00%,6.60%,18.00%,22.10%,11.20%,28.80%,13.30%,93.40%,42.20%,(X),100.00%,54.20%,(X),100.00%,86.30%,(X),86.10%,30.20%,(X),97.00%,38.10%,,(X),93.30%,41.80%,(X),93.30%,41.80%,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,36.40%,(X),100.00%,0.00%,,9.80%,6.60%,4.20%,3.10%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9705.02, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±33.6,±40.6,±36.1,±57.3,(X),±4.2,±7.6,±5.3,±6.6,±4.9,±7.0,±4.8,±7.6,±7.9,(X),±25.8,±21.4,(X),±32.9,±15.9,(X),±17.6,±12.2,(X),±3.0,±11.6,,(X),±7.7,±7.9,(X),±7.7,±7.9,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±99.2,±47.8,(X),±100.0,±100.0,,±25.5,±7.0,±4.6,±3.7,,(X),(X),(X),(X),(X),(X)
"Census Tract 9705.03, Carteret County, North Carolina!!Total!!Estimate",,47,9,19,11,8,"1,601",33,81,312,473,241,337,124,"1,487",461,224,208,101,278,248,78,645,599,117,454,432,165,,"1,399","1,318",427,"1,372","1,307",427,85,82,13,0,0,0,34,34,0,0,0,0,32,32,0,51,21,21,59,43,0,,(X),(X),(X),(X),,"40,328","22,292","23,750","42,589","47,969","62,375"
"Census Tract 9705.03, Carteret County, North Carolina!!Total!!Margin of Error",,±34,±10,±20,±17,±13,±160,±36,±65,±90,±136,±77,±83,±46,±167,±96,±80,±77,±48,±72,±76,±43,±108,±102,±48,±77,±77,±51,,±165,±157,±89,±166,±156,±89,±55,±53,±22,±13,±13,±13,±35,±35,±13,±13,±13,±13,±44,±44,±13,±40,±22,±22,±52,±46,±13,,(X),(X),(X),(X),,"±4,810","±16,578","±10,511","±7,487","±12,133","±18,845"
"Census Tract 9705.03, Carteret County, North Carolina!!Percent!!Estimate",,(X),19.10%,40.40%,23.40%,17.00%,(X),2.10%,5.10%,19.50%,29.50%,15.10%,21.00%,7.70%,92.90%,28.80%,(X),92.90%,45.10%,(X),89.20%,28.10%,(X),92.90%,18.10%,(X),95.20%,36.30%,,(X),94.20%,30.50%,(X),95.30%,31.10%,(X),96.50%,15.30%,(X),-,-,(X),100.00%,0.00%,(X),-,-,(X),100.00%,0.00%,(X),41.20%,41.20%,(X),72.90%,0.00%,,56.10%,5.40%,11.80%,2.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9705.03, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±19.9,±33.5,±32.6,±23.9,(X),±2.2,±4.0,±5.1,±7.0,±4.8,±5.2,±3.0,±5.0,±6.4,(X),±10.7,±19.8,(X),±13.1,±14.4,(X),±7.4,±7.3,(X),±5.9,±12.4,,(X),±4.8,±6.9,(X),±4.7,±7.2,(X),±5.6,±24.5,(X),**,**,(X),±56.4,±56.4,(X),**,**,(X),±58.2,±58.2,(X),±47.8,±47.8,(X),±40.5,±42.8,,±31.4,±5.3,±7.1,±2.6,,(X),(X),(X),(X),(X),(X)
"Census Tract 9705.03, Carteret County, North Carolina!!Male!!Estimate",,27,9,7,11,0,693,16,15,142,245,103,124,48,662,172,73,57,24,101,101,29,315,300,34,204,204,85,,625,594,154,606,591,154,18,18,0,0,0,0,0,0,0,0,0,0,32,32,0,18,18,18,51,35,0,,(X),(X),(X),(X),,"45,859",-,"29,375","47,461","53,500","100,536"
"Census Tract 9705.03, Carteret County, North Carolina!!Male!!Margin of Error",,±26,±10,±13,±17,±13,±102,±25,±15,±54,±92,±44,±40,±30,±106,±50,±38,±31,±19,±45,±45,±23,±77,±78,±24,±47,±47,±30,,±98,±102,±46,±98,±102,±46,±19,±19,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±44,±44,±13,±20,±20,±20,±52,±45,±13,,(X),(X),(X),(X),,"±5,852",**,"±4,914","±9,408","±23,683","±51,977"
"Census Tract 9705.03, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),33.30%,25.90%,40.70%,0.00%,(X),2.30%,2.20%,20.50%,35.40%,14.90%,17.90%,6.90%,95.50%,24.80%,(X),78.10%,32.90%,(X),100.00%,28.70%,(X),95.20%,10.80%,(X),100.00%,41.70%,,(X),95.00%,24.60%,(X),97.50%,25.40%,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),100.00%,100.00%,(X),68.60%,0.00%,,9.70%,12.00%,1.70%,3.50%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9705.03, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±36.1,±38.2,±46.5,±63.3,(X),±3.6,±2.3,±7.8,±10.8,±6.0,±5.6,±4.3,±4.7,±7.0,(X),±28.9,±24.9,(X),±31.5,±19.7,(X),±5.1,±8.0,(X),±17.7,±14.7,,(X),±5.2,±7.2,(X),±2.6,±7.5,(X),±77.5,±77.5,(X),**,**,(X),**,**,(X),**,**,(X),±58.2,±58.2,(X),±77.5,±77.5,(X),±48.5,±46.1,,±22.1,±11.5,±3.5,±5.7,,(X),(X),(X),(X),(X),(X)
"Census Tract 9705.03, Carteret County, North Carolina!!Female!!Estimate",,20,0,12,0,8,908,17,66,170,228,138,213,76,825,289,151,151,77,177,147,49,330,299,83,250,228,80,,774,724,273,766,716,273,67,64,13,0,0,0,34,34,0,0,0,0,0,0,0,33,3,3,8,8,0,,(X),(X),(X),(X),,"32,000",-,"21,250","30,893","44,632","61,000"
"Census Tract 9705.03, Carteret County, North Carolina!!Female!!Margin of Error",,±20,±13,±14,±13,±13,±115,±27,±63,±59,±83,±60,±68,±38,±104,±72,±66,±66,±45,±53,±59,±27,±87,±66,±43,±62,±61,±38,,±120,±104,±70,±118,±103,±70,±50,±49,±22,±13,±13,±13,±35,±35,±13,±13,±13,±13,±13,±13,±13,±37,±7,±7,±12,±12,±13,,(X),(X),(X),(X),,"±7,523",**,"±6,144","±5,236","±13,336","±6,007"
"Census Tract 9705.03, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),0.00%,60.00%,0.00%,40.00%,(X),1.90%,7.30%,18.70%,25.10%,15.20%,23.50%,8.40%,90.90%,31.80%,(X),100.00%,51.00%,(X),83.10%,27.70%,(X),90.60%,25.20%,(X),91.20%,32.00%,,(X),93.50%,35.30%,(X),93.50%,35.60%,(X),95.50%,19.40%,(X),-,-,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),9.10%,9.10%,(X),100.00%,0.00%,,73.50%,0.00%,21.30%,1.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9705.03, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±73.6,±49.7,±73.6,±49.7,(X),±2.9,±6.6,±6.2,±8.0,±6.6,±7.8,±4.2,±8.0,±8.4,(X),±23.0,±29.2,(X),±20.4,±15.7,(X),±12.7,±12.8,(X),±10.5,±14.8,,(X),±7.9,±9.3,(X),±8.0,±9.5,(X),±8.0,±29.0,(X),**,**,(X),±56.4,±56.4,(X),**,**,(X),**,**,(X),±30.0,±30.0,(X),±100.0,±100.0,,±26.8,±20.8,±12.0,±2.3,,(X),(X),(X),(X),(X),(X)
"Census Tract 9705.04, Carteret County, North Carolina!!Total!!Estimate",,42,8,0,28,6,"1,296",22,7,100,281,138,393,355,"1,267",748,135,135,95,256,256,120,585,578,365,320,298,168,,"1,119","1,105",655,"1,077","1,063",642,26,26,8,0,0,0,92,77,53,0,0,0,0,0,0,59,59,32,63,63,13,,(X),(X),(X),(X),,"52,852",-,"42,688","51,705","46,406","95,304"
"Census Tract 9705.04, Carteret County, North Carolina!!Total!!Margin of Error",,±36,±13,±13,±27,±9,±173,±23,±12,±46,±76,±60,±116,±102,±166,±147,±59,±59,±51,±72,±72,±54,±102,±103,±100,±108,±103,±94,,±166,±162,±151,±167,±163,±150,±28,±28,±14,±13,±13,±13,±72,±60,±42,±13,±13,±13,±13,±13,±13,±52,±52,±29,±45,±45,±10,,(X),(X),(X),(X),,"±10,223",**,"±31,306","±19,203","±19,935","±13,791"
"Census Tract 9705.04, Carteret County, North Carolina!!Percent!!Estimate",,(X),19.00%,0.00%,66.70%,14.30%,(X),1.70%,0.50%,7.70%,21.70%,10.60%,30.30%,27.40%,97.80%,57.70%,(X),100.00%,70.40%,(X),100.00%,46.90%,(X),98.80%,62.40%,(X),93.10%,52.50%,,(X),98.70%,58.50%,(X),98.70%,59.60%,(X),100.00%,30.80%,(X),-,-,(X),83.70%,57.60%,(X),-,-,(X),-,-,(X),100.00%,54.20%,(X),100.00%,20.60%,,0.00%,9.00%,4.30%,2.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9705.04, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±28.4,±50.8,±26.3,±18.1,(X),±1.7,±0.9,±3.5,±5.0,±4.5,±7.4,±7.3,±1.9,±7.9,(X),±25.2,±19.4,(X),±14.4,±14.6,(X),±2.0,±12.3,(X),±7.0,±17.9,,(X),±1.4,±9.4,(X),±1.4,±8.9,(X),±64.5,±54.3,(X),**,**,(X),±17.7,±29.8,(X),**,**,(X),**,**,(X),±42.8,±21.8,(X),±41.5,±23.9,,±61.1,±13.5,±4.1,±2.3,,(X),(X),(X),(X),(X),(X)
"Census Tract 9705.04, Carteret County, North Carolina!!Male!!Estimate",,30,8,0,16,6,568,0,0,50,159,60,163,136,568,299,53,53,38,156,156,51,223,223,148,136,136,62,,502,502,284,466,466,277,10,10,0,0,0,0,29,29,15,0,0,0,0,0,0,27,27,0,57,57,7,,(X),(X),(X),(X),,"60,083",-,-,"57,202","94,107","95,709"
"Census Tract 9705.04, Carteret County, North Carolina!!Male!!Margin of Error",,±26,±13,±13,±17,±9,±89,±13,±13,±32,±54,±31,±47,±57,±89,±69,±33,±33,±26,±51,±51,±35,±56,±56,±45,±48,±48,±36,,±87,±87,±65,±81,±81,±63,±14,±14,±13,±13,±13,±13,±32,±32,±23,±13,±13,±13,±13,±13,±13,±28,±28,±13,±44,±44,±10,,(X),(X),(X),(X),,"±22,709",**,**,"±3,409","±36,751","±10,279"
"Census Tract 9705.04, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),26.70%,0.00%,53.30%,20.00%,(X),0.00%,0.00%,8.80%,28.00%,10.60%,28.70%,23.90%,100.00%,52.60%,(X),100.00%,71.70%,(X),100.00%,32.70%,(X),100.00%,66.40%,(X),100.00%,45.60%,,(X),100.00%,56.60%,(X),100.00%,59.40%,(X),100.00%,0.00%,(X),-,-,(X),100.00%,51.70%,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),100.00%,12.30%,,-,18.00%,0.00%,1.70%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9705.04, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±40.7,±60.1,±34.7,±23.9,(X),±6.8,±6.8,±5.6,±7.8,±5.2,±8.0,±8.9,±6.8,±9.4,(X),±45.2,±27.7,(X),±22.4,±20.1,(X),±16.4,±15.1,(X),±25.1,±19.8,,(X),±7.7,±10.1,(X),±8.2,±9.4,(X),±100.0,±100.0,(X),**,**,(X),±61.1,±51.7,(X),**,**,(X),**,**,(X),±63.3,±63.3,(X),±43.6,±20.9,,**,±25.0,±16.6,±2.5,,(X),(X),(X),(X),(X),(X)
"Census Tract 9705.04, Carteret County, North Carolina!!Female!!Estimate",,12,0,0,12,0,728,22,7,50,122,78,230,219,699,449,82,82,57,100,100,69,362,355,217,184,162,106,,617,603,371,611,597,365,16,16,8,0,0,0,63,48,38,0,0,0,0,0,0,32,32,32,6,6,6,,(X),(X),(X),(X),,"42,000",-,"42,750","30,962","40,000","84,318"
"Census Tract 9705.04, Carteret County, North Carolina!!Female!!Margin of Error",,±20,±13,±13,±20,±13,±128,±23,±12,±28,±46,±41,±108,±73,±125,±126,±40,±40,±32,±36,±36,±36,±76,±77,±82,±91,±90,±87,,±125,±123,±127,±124,±122,±126,±18,±18,±14,±13,±13,±13,±46,±39,±31,±13,±13,±13,±13,±13,±13,±29,±29,±29,±11,±11,±11,,(X),(X),(X),(X),,"±13,327",**,"±38,173","±26,101","±29,340","±50,016"
"Census Tract 9705.04, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),0.00%,0.00%,100.00%,0.00%,(X),3.00%,1.00%,6.90%,16.80%,10.70%,31.60%,30.10%,96.00%,61.70%,(X),100.00%,69.50%,(X),100.00%,69.00%,(X),98.10%,59.90%,(X),88.00%,57.60%,,(X),97.70%,60.10%,(X),97.70%,59.70%,(X),100.00%,50.00%,(X),-,-,(X),76.20%,60.30%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,,0.00%,0.00%,9.00%,2.20%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9705.04, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±95.0,±95.0,±95.0,±95.0,(X),±3.1,±1.6,±3.8,±6.5,±5.8,±11.3,±9.6,±3.4,±10.3,(X),±36.1,±23.5,(X),±31.7,±23.5,(X),±3.3,±15.3,(X),±13.7,±24.1,,(X),±2.5,±12.0,(X),±2.5,±12.2,(X),±82.2,±50.0,(X),**,**,(X),±28.6,±30.0,(X),**,**,(X),**,**,(X),±58.2,±58.2,(X),±100.0,±100.0,,±61.1,±46.5,±8.4,±3.4,,(X),(X),(X),(X),(X),(X)
"Census Tract 9706.01, Carteret County, North Carolina!!Total!!Estimate",,66,13,20,33,0,789,34,34,131,349,74,131,36,721,167,41,41,7,150,130,21,331,298,79,267,252,60,,745,677,167,739,671,161,13,13,0,3,3,0,0,0,0,0,0,0,25,25,0,3,3,0,31,31,6,,(X),(X),(X),(X),,"43,578","41,250","44,750","49,000","41,607","42,000"
"Census Tract 9706.01, Carteret County, North Carolina!!Total!!Margin of Error",,±33,±14,±25,±19,±13,±132,±24,±29,±44,±102,±36,±61,±21,±129,±62,±39,±39,±10,±56,±57,±16,±79,±77,±33,±80,±80,±46,,±124,±119,±62,±123,±118,±60,±22,±22,±13,±6,±6,±13,±13,±13,±13,±13,±13,±13,±41,±41,±13,±4,±4,±13,±43,±43,±11,,(X),(X),(X),(X),,"±4,316","±4,307","±17,648","±22,144","±5,966","±27,113"
"Census Tract 9706.01, Carteret County, North Carolina!!Percent!!Estimate",,(X),19.70%,30.30%,50.00%,0.00%,(X),4.30%,4.30%,16.60%,44.20%,9.40%,16.60%,4.60%,91.40%,21.20%,(X),100.00%,17.10%,(X),86.70%,14.00%,(X),90.00%,23.90%,(X),94.40%,22.50%,,(X),90.90%,22.40%,(X),90.80%,21.80%,(X),100.00%,0.00%,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),100.00%,0.00%,(X),100.00%,19.40%,,0.00%,10.70%,3.80%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9706.01, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±18.9,±29.0,±28.9,±40.5,(X),±3.0,±3.7,±5.7,±8.5,±4.8,±6.6,±2.8,±4.5,±6.6,(X),±51.4,±27.7,(X),±12.0,±11.0,(X),±7.9,±10.1,(X),±4.5,±13.0,,(X),±4.7,±6.8,(X),±4.7,±6.7,(X),±91.2,±91.2,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),±65.8,±65.8,(X),±100.0,±100.0,(X),±59.1,±47.3,,±39.9,±16.5,±5.7,±21.1,,(X),(X),(X),(X),(X),(X)
"Census Tract 9706.01, Carteret County, North Carolina!!Male!!Estimate",,19,4,5,10,0,399,34,22,71,163,43,44,22,343,66,28,28,7,101,84,0,154,130,36,116,101,23,,371,315,66,371,315,66,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,3,3,0,25,25,0,,(X),(X),(X),(X),,"44,917","40,568","55,500","52,986","70,250",-
"Census Tract 9706.01, Carteret County, North Carolina!!Male!!Margin of Error",,±20,±8,±8,±15,±13,±79,±24,±17,±27,±82,±26,±28,±15,±77,±31,±30,±30,±10,±47,±49,±13,±57,±54,±21,±29,±28,±15,,±73,±68,±31,±73,±68,±31,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±41,±41,±13,±4,±4,±13,±41,±41,±13,,(X),(X),(X),(X),,"±13,956","±10,236","±23,876","±29,717","±69,812",**
"Census Tract 9706.01, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),21.10%,26.30%,52.60%,0.00%,(X),8.50%,5.50%,17.80%,40.90%,10.80%,11.00%,5.50%,86.00%,16.50%,(X),100.00%,25.00%,(X),83.20%,0.00%,(X),84.40%,23.40%,(X),87.10%,19.80%,,(X),84.90%,17.80%,(X),84.90%,17.80%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),100.00%,0.00%,(X),100.00%,0.00%,,0.00%,0.00%,7.80%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9706.01, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±40.1,±43.1,±52.6,±75.5,(X),±5.8,±4.3,±7.6,±14.9,±7.3,±6.8,±4.0,±7.1,±7.7,(X),±62.2,±45.5,(X),±17.3,±31.5,(X),±14.1,±14.3,(X),±9.8,±11.6,,(X),±7.4,±8.2,(X),±7.4,±8.2,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±65.8,±65.8,(X),±100.0,±100.0,(X),±65.8,±65.8,,±44.0,±39.0,±11.6,±40.5,,(X),(X),(X),(X),(X),(X)
"Census Tract 9706.01, Carteret County, North Carolina!!Female!!Estimate",,47,9,15,23,0,390,0,12,60,186,31,87,14,378,101,13,13,0,49,46,21,177,168,43,151,151,37,,374,362,101,368,356,95,13,13,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,,(X),(X),(X),(X),,"42,000",-,"41,250","43,000","39,375",-
"Census Tract 9706.01, Carteret County, North Carolina!!Female!!Margin of Error",,±31,±11,±25,±15,±13,±73,±13,±16,±31,±56,±24,±51,±13,±74,±51,±22,±22,±13,±26,±24,±16,±49,±49,±23,±65,±65,±41,,±72,±72,±51,±72,±71,±48,±22,±22,±13,±6,±6,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±11,±11,±11,,(X),(X),(X),(X),,"±7,210",**,"±31,191","±25,995","±6,308",**
"Census Tract 9706.01, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),19.10%,31.90%,48.90%,0.00%,(X),0.00%,3.10%,15.40%,47.70%,7.90%,22.30%,3.60%,96.90%,25.90%,(X),100.00%,0.00%,(X),93.90%,42.90%,(X),94.90%,24.30%,(X),100.00%,24.50%,,(X),96.80%,27.00%,(X),96.70%,25.80%,(X),100.00%,0.00%,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,100.00%,,0.00%,23.30%,0.00%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9706.01, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±23.8,±38.0,±35.9,±48.0,(X),±9.7,±4.1,±7.3,±11.9,±6.0,±11.3,±3.5,±4.1,±11.2,(X),±91.2,±91.2,(X),±12.7,±28.0,(X),±8.0,±13.9,(X),±23.0,±20.4,,(X),±4.3,±11.6,(X),±4.3,±11.3,(X),±91.2,±91.2,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±100.0,±100.0,,±95.0,±31.2,±16.8,±31.5,,(X),(X),(X),(X),(X),(X)
"Census Tract 9706.02, Carteret County, North Carolina!!Total!!Estimate",,66,11,18,37,0,878,5,13,169,201,190,193,107,860,300,154,154,39,48,48,24,442,429,172,234,229,65,,812,794,284,812,794,284,0,0,0,0,0,0,66,66,16,0,0,0,0,0,0,0,0,0,0,0,0,,(X),(X),(X),(X),,"50,815",-,"16,987","46,500","52,656","86,288"
"Census Tract 9706.02, Carteret County, North Carolina!!Total!!Margin of Error",,±25,±18,±16,±24,±13,±113,±8,±19,±77,±56,±81,±53,±39,±112,±72,±84,±84,±36,±41,±41,±23,±76,±77,±49,±40,±42,±33,,±92,±93,±69,±92,±93,±69,±13,±13,±13,±13,±13,±13,±77,±77,±20,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,,(X),(X),(X),(X),,"±10,591",**,"±7,892","±36,288","±25,971","±1,438"
"Census Tract 9706.02, Carteret County, North Carolina!!Percent!!Estimate",,(X),16.70%,27.30%,56.10%,0.00%,(X),0.60%,1.50%,19.20%,22.90%,21.60%,22.00%,12.20%,97.90%,34.20%,(X),100.00%,25.30%,(X),100.00%,50.00%,(X),97.10%,38.90%,(X),97.90%,27.80%,,(X),97.80%,35.00%,(X),97.80%,35.00%,(X),-,-,(X),-,-,(X),100.00%,24.20%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,,0.00%,3.60%,0.00%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9706.02, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±28.8,±22.3,±31.9,±40.5,(X),±0.9,±2.1,±8.4,±6.5,±8.1,±5.2,±4.3,±2.3,±7.2,(X),±22.6,±13.2,(X),±47.5,±28.1,(X),±4.2,±9.5,(X),±3.6,±15.0,,(X),±2.5,±7.8,(X),±2.5,±7.8,(X),**,**,(X),**,**,(X),±40.5,±12.3,(X),**,**,(X),**,**,(X),**,**,(X),**,**,,±77.5,±5.1,±9.7,±12.5,,(X),(X),(X),(X),(X),(X)
"Census Tract 9706.02, Carteret County, North Carolina!!Male!!Estimate",,29,11,18,0,0,481,5,13,89,141,127,44,62,463,106,119,119,4,20,20,0,214,201,58,128,123,44,,431,413,106,431,413,106,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,(X),(X),(X),(X),,"49,318",-,"23,250",-,-,"86,212"
"Census Tract 9706.02, Carteret County, North Carolina!!Male!!Margin of Error",,±23,±18,±16,±13,±13,±85,±8,±19,±55,±45,±72,±27,±25,±86,±33,±58,±58,±7,±25,±25,±13,±57,±59,±31,±32,±32,±27,,±73,±76,±33,±73,±76,±33,±13,±13,±13,±13,±13,±13,±59,±59,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,,(X),(X),(X),(X),,"±25,807",**,"±16,395",**,**,±665
